Название;Домен;Использовать регулярное выражения для части адреса источника;Часть адреса источника до знака ?;Вес;Категория;Дополнительные параметры запроса
Вконтакте;vk.com;0;;10;Социальные сети;
Youtube;www.youtube.com;0;;10;Социальные сети;
Facebook;www.facebook.com;0;;10;Социальные сети;
Инстаграмм;www.instagram.com;0;;10;Социальные сети;
Яндекс;www.yandex.ru;0;;10;Поисковики;
Google;google.com;0;;10;Поисковики;
Mail.ru;mail.ru;0;;10;Поисковики;
Яндекс;yandex.ru;0;;10;Поисковики;
Яндекс Маркет;market.yandex.ru;0;;10;Реклама;
